dd_half_stop,dd_cash_stop,recover_above,recovery_periods,val_ok,selection_score,val_cumret,val_sharpe,val_mdd,val_turnover,test_cumret,test_sharpe,test_mdd,test_turnover,all_cumret,all_sharpe,all_mdd,all_turnover
-0.15,-0.22,-0.1,1,False,-0.22338712137182576,0.27828892505298564,0.7335902561632927,-0.21014635458422903,0.6435643564356436,0.4299048758200683,1.0177097378685764,-0.17319178055620676,0.588495575221239,6.117762794413786,0.8406653345484588,-0.22362207096826048,0.425625
-0.15,-0.22,-0.1,2,False,-0.22338712137182576,0.27828892505298564,0.7335902561632927,-0.21014635458422903,0.6435643564356436,0.4299048758200683,1.0177097378685764,-0.17319178055620676,0.588495575221239,6.117762794413786,0.8406653345484588,-0.22362207096826048,0.425625
-0.15,-0.22,-0.12,1,False,-0.22338712137182576,0.27828892505298564,0.7335902561632927,-0.21014635458422903,0.6435643564356436,0.4299048758200683,1.0177097378685764,-0.17319178055620676,0.588495575221239,6.117762794413786,0.8406653345484588,-0.22362207096826048,0.425625
-0.15,-0.22,-0.12,2,False,-0.22338712137182576,0.27828892505298564,0.7335902561632927,-0.21014635458422903,0.6435643564356436,0.4299048758200683,1.0177097378685764,-0.17319178055620676,0.588495575221239,6.117762794413786,0.8406653345484588,-0.22362207096826048,0.425625
-0.15,,,1,False,-0.26931838526478996,0.27828892505298564,0.7335902561632927,-0.21014635458422903,0.6435643564356436,0.4299048758200683,1.0177097378685764,-0.17319178055620676,0.588495575221239,18.096097226078445,1.0318182864640777,-0.2695533348612247,0.636875
,-0.18,-0.08,1,False,-2.7011412120469878,-0.14803753776270434,-0.6849372815349547,-0.18252615697733077,0.16831683168316833,0.5139120177125063,1.134012079864403,-0.1731837096755079,0.6194690265486725,-0.23011898510105644,-0.35203589763088944,-0.23011898510105644,0.0075
,-0.18,-0.08,2,False,-2.7011412120469878,-0.14803753776270434,-0.6849372815349547,-0.18252615697733077,0.16831683168316833,0.5139120177125063,1.134012079864403,-0.1731837096755079,0.6194690265486725,-0.23011898510105644,-0.35203589763088944,-0.23011898510105644,0.0075
,-0.18,-0.1,1,False,-2.7011412120469878,-0.14803753776270434,-0.6849372815349547,-0.18252615697733077,0.16831683168316833,0.5139120177125063,1.134012079864403,-0.1731837096755079,0.6194690265486725,-0.23011898510105644,-0.35203589763088944,-0.23011898510105644,0.0075
,-0.18,-0.1,2,False,-2.7011412120469878,-0.14803753776270434,-0.6849372815349547,-0.18252615697733077,0.16831683168316833,0.5139120177125063,1.134012079864403,-0.1731837096755079,0.6194690265486725,-0.23011898510105644,-0.35203589763088944,-0.23011898510105644,0.0075
,-0.18,-0.12,1,False,-2.7011412120469878,-0.14803753776270434,-0.6849372815349547,-0.18252615697733077,0.16831683168316833,0.5139120177125063,1.134012079864403,-0.1731837096755079,0.6194690265486725,-0.23011898510105644,-0.35203589763088944,-0.23011898510105644,0.0075
,-0.18,-0.12,2,False,-2.7011412120469878,-0.14803753776270434,-0.6849372815349547,-0.18252615697733077,0.16831683168316833,0.5139120177125063,1.134012079864403,-0.1731837096755079,0.6194690265486725,-0.23011898510105644,-0.35203589763088944,-0.23011898510105644,0.0075
,-0.2,-0.08,1,False,-2.8595209574316973,-0.17181538721429634,-0.7290413004083948,-0.20534144618498307,0.16831683168316833,0.5139120177125063,1.134012079864403,-0.1731837096755079,0.6194690265486725,-0.23011898510105644,-0.35203589763088944,-0.23011898510105644,0.0075
,-0.2,-0.08,2,False,-2.8595209574316973,-0.17181538721429634,-0.7290413004083948,-0.20534144618498307,0.16831683168316833,0.5139120177125063,1.134012079864403,-0.1731837096755079,0.6194690265486725,-0.23011898510105644,-0.35203589763088944,-0.23011898510105644,0.0075
,-0.2,-0.1,1,False,-2.8595209574316973,-0.17181538721429634,-0.7290413004083948,-0.20534144618498307,0.16831683168316833,0.5139120177125063,1.134012079864403,-0.1731837096755079,0.6194690265486725,-0.23011898510105644,-0.35203589763088944,-0.23011898510105644,0.0075
,-0.2,-0.1,2,False,-2.8595209574316973,-0.17181538721429634,-0.7290413004083948,-0.20534144618498307,0.16831683168316833,0.5139120177125063,1.134012079864403,-0.1731837096755079,0.6194690265486725,-0.23011898510105644,-0.35203589763088944,-0.23011898510105644,0.0075
,-0.2,-0.12,1,False,-2.8595209574316973,-0.17181538721429634,-0.7290413004083948,-0.20534144618498307,0.16831683168316833,0.5139120177125063,1.134012079864403,-0.1731837096755079,0.6194690265486725,-0.23011898510105644,-0.35203589763088944,-0.23011898510105644,0.0075
