date,selected_stocks,n_holdings,gross_return,net_return,turnover,equity,drawdown,exposure,risk_flag,kept_existing,newly_added,forced_keep_count,entry_candidates_count
2015-12-02,JNJ|UNH,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,2,0,0,1
2015-12-09,JNJ|V,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,0,2
2015-12-16,JNJ|V,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,2,0,1,0
2015-12-23,JNJ|MSFT,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,0,6
2015-12-31,JNJ|MSFT,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,2,0,1,8
2016-01-08,JNJ|MSFT,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,2,0,0,8
2016-01-15,JNJ|UNH,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,0,8
2016-01-25,JNJ|UNH,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,2,0,1,8
2016-02-01,UNH|V,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,0,7
2016-02-08,UNH|V,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,2,0,1,8
2016-02-16,META|UNH,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,0,7
2016-02-23,JNJ|META,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,1,7
2016-03-01,JNJ|UNH,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,1,1
2016-03-08,JNJ|UNH,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,2,0,1,5
2016-03-15,JNJ|UNH,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,2,0,0,3
2016-03-22,JNJ|META,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,0,3
2016-03-30,JNJ|META,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,2,0,1,5
2016-04-06,META|UNH,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,0,5
2016-04-13,JNJ|UNH,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,1,1
2016-04-20,JNJ|META,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,1,1
2016-04-27,META|V,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,1,5
2016-05-04,GOOGL|V,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,1,6
2016-05-11,GOOGL|UNH,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,1,3
2016-05-18,META|UNH,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,1,2
2016-05-25,META|UNH,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,2,0,1,0
2016-06-02,META|V,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,0,2
2016-06-09,JPM|V,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,1,5
2016-06-16,JPM|META,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,1,3
2016-06-23,JPM|META,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,2,0,1,0
2016-06-30,JPM|META,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,2,0,0,6
2016-07-08,JPM|META,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,2,0,0,6
2016-07-15,JPM|V,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,0,1
2016-07-22,JPM|V,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,2,0,1,7
2016-07-29,JPM|UNH,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,0,5
2016-08-05,UNH|V,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,1,2
2016-08-12,META|V,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,1,6
2016-08-19,JNJ|META,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,1,1
2016-08-26,JNJ|UNH,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,1,3
2016-09-02,JNJ|UNH,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,2,0,1,0
2016-09-12,AMZN|UNH,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,0,1
2016-09-19,AMZN|META,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,1,6
2016-09-26,AAPL|META,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,1,7
2016-10-03,AAPL|JNJ,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,1,3
2016-10-10,JNJ|UNH,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,1,1
2016-10-17,NVDA|UNH,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,1,6
2016-10-24,NVDA|V,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,1,1
2016-10-31,META|V,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,1,3
2016-11-07,META|UNH,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,1,1
2016-11-14,META|UNH,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,2,0,1,1
2016-11-21,JNJ|META,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,0,7
2016-11-29,JNJ|V,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,1,7
2016-12-06,JNJ|V,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,2,0,1,6
2016-12-13,JNJ|V,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,2,0,0,2
2016-12-20,JNJ|V,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,2,0,0,4
2016-12-28,META|V,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,0,5
2017-01-05,META|UNH,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,1,5
2017-01-12,MSFT|UNH,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,1,2
2017-01-20,MSFT|UNH,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,2,0,1,2
2017-01-27,JNJ|UNH,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,0,3
2017-02-03,JNJ|UNH,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,2,0,1,3
2017-02-10,MSFT|UNH,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,0,5
2017-02-17,MSFT|V,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,1,2
2017-02-27,UNH|V,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,1,4
2017-03-06,MSFT|UNH,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,1,3
2017-03-13,JPM|MSFT,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,1,2
2017-03-20,JPM|MSFT,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,2,0,1,1
2017-03-27,JPM|UNH,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,0,1
2017-04-03,UNH,1,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,0,1,0
2017-04-10,UNH,1,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,0,0,0
2017-04-18,UNH,1,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,0,0,0
2017-04-25,,0,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,0,0,0,0
2017-05-02,JNJ,1,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,0,1,0,1
2017-05-09,JNJ|JPM,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,1,1
2017-05-16,JPM|UNH,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,1,3
2017-05-23,MSFT|UNH,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,1,6
2017-05-31,JPM|MSFT,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,1,3
