bootstrap_id,diff_cumret_sticky_minus_static,diff_annret_sticky_minus_static,diff_sharpe_sticky_minus_static,diff_mdd_sticky_minus_static
202,-0.7081388733023452,-0.27434549147692355,-1.2205074740844692,-0.1156797775167614
203,-0.12394878058003456,-0.05744355515832256,-0.2439828798362539,-0.13194769779772753
204,-0.24835601996668544,-0.0810229689039692,-0.2342448940320463,0.038193632657412935
205,0.017130123744677483,0.006427457686996707,0.045177972167182556,-0.026688601526473454
206,-0.42309024050958444,-0.15669311924098173,-0.6819989864057723,-0.13784043643340638
207,-0.6066983287939254,-0.20055234957822754,-0.76130105673044,-0.03902922237136097
208,0.1444516880964819,0.07285698016771247,0.338409951111329,0.04358978133265057
209,-0.09175416412770854,-0.04235289257321151,-0.1993189196952951,-0.022854937950558818
210,-0.4265106229108726,-0.1265099587623666,-0.5562984531025439,-0.03841405184607394
211,-0.11707373954091793,-0.05834474377696486,-0.24010983750641743,0.02253758636597769
212,-0.264326217318146,-0.12178179592823446,-0.5743686456058327,-0.1558608817350533
213,-0.5184280017585068,-0.1385670336512892,-0.7516570500367061,-0.01700526069074404
214,-0.6370519422089873,-0.2217927225977543,-0.8509682122517059,-0.028889897884362137
215,-0.5632035050211555,-0.1949833300245154,-0.7122255351289484,-0.04189220709424035
216,0.23854597045544934,0.08560893920607682,0.3314023458871813,0.015038756227703343
217,-0.19085893304132484,-0.07119112318985632,-0.2875091268499661,-0.17051128496935064
218,0.08880576571766441,0.031023748064539447,0.1189225306151539,0.06617989879473452
219,-0.30452000169308513,-0.11988331487167381,-0.5303196198489253,-0.0598628699770809
220,0.040886424057580584,0.01500878888550261,0.09112886668334974,0.03124491747993452
221,-0.36963005188185294,-0.16944117008364046,-0.7197011659186567,0.0014188620079367276
222,-0.46348387873520724,-0.183518952104208,-0.635847929317478,-0.09237229154508242
223,-0.6983601522340306,-0.23776161707224963,-0.9708077992662809,-0.06760074051740272
224,-0.8327035027348073,-0.23424187740410263,-0.8230826034396741,-0.010245290216113867
225,-0.1578017302189858,-0.05154333588582016,-0.26379677595047424,0.06306756626737364
226,-0.25682643939971217,-0.1234810473844955,-0.5540044359301387,-0.13037517293608403
