date,selected_stocks,n_holdings,top1_stock,top1_prob,gross_return,net_return,turnover,equity,drawdown,exposure,kept_existing,newly_added,forced_keep_count,entry_candidates_count
2016-12-06,JNJ|V,2,JNJ,0.6544722,0.03064108167914145,0.03064108167914145,0.0,3.874368573803409,-0.009408930150631156,1.0,2,0,1,6
2016-12-13,JNJ|V,2,JNJ,0.62193394,-0.0062954275771114,-0.0062954275771114,0.0,3.849977767039993,-0.01564512448940114,1.0,2,0,0,2
2016-12-20,JNJ|V,2,JNJ,0.62349105,-0.00280361833743665,-0.00280361833743665,0.0,3.839183898773596,-0.018404879868927915,1.0,2,0,0,4
2016-12-28,META|V,2,V,0.6506293,0.0338527774546005,0.032852777454600496,1.0,3.9653117530072906,0.0,1.0,1,1,0,5
2017-01-05,META|UNH,2,UNH,0.6325285,0.025208902563460048,0.024208902563460047,1.0,4.061307598869587,0.0,1.0,1,1,1,5
2017-01-12,MSFT|UNH,2,UNH,0.63989896,-0.010356343502695901,-0.0113563435026959,1.0,4.015185994706715,-0.011356343502695876,1.0,1,1,1,2
2017-01-20,MSFT|UNH,2,UNH,0.6357184,0.03787257943486705,0.03787257943486705,0.0,4.167251445237011,0.0,1.0,2,0,1,2
2017-01-27,JNJ|UNH,2,JNJ,0.635999,-0.00228933000582155,-0.00328933000582155,1.0,4.15354398001639,-0.0032893300058215447,1.0,1,1,0,3
2017-02-03,JNJ|UNH,2,JNJ,0.6379232,0.00358041280816135,0.00358041280816135,0.0,4.168415382081702,0.0,1.0,2,0,1,3
2017-02-10,MSFT|UNH,2,MSFT,0.6222093,-0.0018314895637331005,-0.0028314895637331005,1.0,4.156612557430033,-0.002831489563733136,1.0,1,1,0,5
2017-02-17,MSFT|V,2,V,0.62062556,6.948638554345014e-05,-0.0009305136144565499,1.0,4.152744772855323,-0.0037593684386014736,1.0,1,1,1,2
2017-02-27,UNH|V,2,UNH,0.65288895,0.015378350753883451,0.01437835075388345,1.0,4.212454393790793,0.0,1.0,1,1,1,4
2017-03-06,MSFT|UNH,2,UNH,0.63294685,0.00977879752788195,0.008778797527881951,1.0,4.249434678009319,0.0,1.0,1,1,1,3
2017-03-13,JPM|MSFT,2,JPM,0.63977116,-0.00557867249579225,-0.00657867249579225,1.0,4.2214790389704335,-0.006578672495792137,1.0,1,1,1,2
2017-03-20,JPM|MSFT,2,JPM,0.60964715,-0.014185908805818648,-0.014185908805818648,0.0,4.161593522297924,-0.020671256853522224,1.0,2,0,1,1
2017-03-27,JPM|UNH,2,UNH,0.61193424,0.004611829812084699,0.0036118298120846994,1.0,4.176624489847538,-0.017134088103194278,1.0,1,1,0,1
2017-04-03,UNH,1,UNH,0.59548575,-0.0006640346514864,-0.0016640346514864,1.0,4.169674441970185,-0.018769611038355283,1.0,1,0,1,0
2017-04-10,UNH,1,UNH,0.56231475,0.0187939543695938,0.0187939543695938,0.0,4.248039113168635,-0.0003284118821512694,1.0,1,0,0,0
2017-04-18,UNH,1,JPM,0.5950299,0.0323267863395895,0.0323267863395895,0.0,4.385364565942257,0.0,1.0,1,0,0,0
2017-04-25,,0,JNJ,0.59588027,0.0,-0.001,1.0,4.380979201376315,-0.0009999999999998899,0.0,0,0,0,0
2017-05-02,JNJ,1,JNJ,0.6252797,-0.0039610472785223,-0.0049610472785223,1.0,4.359244956432064,-0.0059560862312437735,1.0,0,1,0,1
2017-05-09,JNJ|JPM,2,JPM,0.61643934,0.02346206304452455,0.022462063044524548,1.0,4.457162591469966,0.0,1.0,1,1,1,1
2017-05-16,JPM|UNH,2,UNH,0.62387806,0.0105575930696439,0.009557593069643901,1.0,4.499762337764475,0.0,1.0,1,1,1,3
2017-05-23,MSFT|UNH,2,MSFT,0.63369524,0.00833104585539095,0.0073310458553909495,1.0,4.532750301800988,0.0,1.0,1,1,1,6
2017-05-31,JPM|MSFT,2,JPM,0.61896294,0.028968212888194997,0.027968212888194996,1.0,4.659523227210788,0.0,1.0,1,1,1,3
2017-06-07,AAPL|JPM,2,JPM,0.6340753,-0.0139080568906913,-0.014908056890691301,1.0,4.590058789856032,-0.014908056890691301,1.0,1,1,1,3
2017-06-14,AAPL|V,2,V,0.6497457,-0.00164581582361625,-0.00264581582361625,1.0,4.577914339678502,-0.017514428741486787,1.0,1,1,1,6
2017-06-21,MSFT|V,2,V,0.648678,0.005593694373542901,0.004593694373542901,1.0,4.598943879023245,-0.013001190300709453,1.0,1,1,1,6
2017-06-28,META|MSFT,2,META,0.6397226,-0.023232721296600853,-0.024232721296600854,1.0,4.487498953744166,-0.03691885737622913,1.0,1,1,1,4
2017-07-06,AMZN|META,2,META,0.6394985,0.05346180333122305,0.05246180333122305,1.0,4.722921241304561,0.0,1.0,1,1,1,5
2017-07-13,AMZN|JNJ,2,JNJ,0.6019844,0.03188593061037765,0.03088593061037765,1.0,4.8687930590417725,0.0,1.0,1,1,1,1
2017-07-20,JNJ|JPM,2,JPM,0.6211741,-0.0190957446061088,-0.0200957446061088,1.0,4.770951037187274,-0.020095744606108745,1.0,1,1,1,4
2017-07-27,JNJ|JPM,2,JNJ,0.6305669,0.0148192655071451,0.0148192655071451,0.0,4.841653027328941,-0.0055742832738454595,1.0,2,0,1,1
2017-08-03,JNJ|MSFT,2,JNJ,0.65600246,-0.0061031703426812,-0.0071031703426812,1.0,4.807261941135666,-0.01263785853289412,1.0,1,1,0,6
2017-08-10,JNJ|MSFT,2,JNJ,0.6403242,0.0094449283882462,0.0094449283882462,0.0,4.852666185913234,-0.003312293813471756,1.0,2,0,1,3
2017-08-17,JNJ|JPM,2,JPM,0.617046,0.0042350928392163,0.0032350928392163,1.0,4.868365011542389,-8.791655225282025e-05,1.0,1,1,0,2
2017-08-24,JPM|MSFT,2,JPM,0.6131808,0.01086534487590905,0.009865344875909048,1.0,4.916393111363063,0.0,1.0,1,1,1,1
2017-08-31,JPM|MSFT,2,JNJ,0.58171475,-0.01887063848582355,-0.01887063848582355,0.0,4.8236176343043375,-0.018870638485823488,1.0,2,0,1,0
2017-09-08,JNJ|JPM,2,JNJ,0.639124,0.03134161293225965,0.03034161293225965,1.0,4.969973973497622,0.0,1.0,1,1,0,3
2017-09-15,JNJ|JPM,2,AAPL,0.5909182,0.006138418993226001,0.006138418993226001,0.0,5.000481756132379,0.0,1.0,2,0,1,0
2017-09-22,JNJ|META,2,JNJ,0.64751935,-0.00428421604682465,-0.00528421604682465,1.0,4.97405813019477,-0.005284216046824719,1.0,1,1,0,6
2017-09-29,JNJ|META,2,JNJ,0.65708226,0.0163249776073749,0.0163249776073749,0.0,5.05525951778798,0.0,1.0,2,0,1,7
2017-10-06,JNJ|META,2,JNJ,0.64075184,0.0164315183137463,0.0164315183137463,0.0,5.138325107135253,0.0,1.0,2,0,0,6
2017-10-13,META|UNH,2,UNH,0.65194523,0.0424474032578554,0.0414474032578554,1.0,5.35129533992065,0.0,1.0,1,1,0,7
2017-10-20,AAPL|UNH,2,AAPL,0.60638493,0.03407398644177845,0.03307398644177845,1.0,5.528284009439138,0.0,1.0,1,1,1,1
2017-10-27,AAPL|V,2,V,0.600543,0.0364984997656143,0.0354984997656143,1.0,5.724529798052462,0.0,1.0,1,1,1,2
2017-11-03,JNJ|V,2,JNJ,0.640488,0.0004788638891708502,-0.0005211361108291498,1.0,5.721546538857179,-0.0005211361108291568,1.0,1,1,1,4
2017-11-10,JNJ|META,2,META,0.633631,-0.00407607900325755,-0.00507607900325755,1.0,5.692503516605125,-0.00559456978601669,1.0,1,1,1,4
2017-11-17,JPM|META,2,META,0.6374389,0.0101871063623199,0.0091871063623199,1.0,5.744801151880057,0.0,1.0,1,1,1,5
2017-11-27,JNJ|JPM,2,JNJ,0.633373,0.0493478140788088,0.048347814078808796,1.0,6.02254972989088,0.0,1.0,1,1,1,3
2017-12-04,JNJ|META,2,META,0.61163473,0.02973500293831665,0.02873500293831665,1.0,6.195607714075453,0.0,1.0,1,1,1,2
2017-12-11,META|V,2,V,0.63541627,0.01022166363104745,0.009221663631047448,1.0,6.252741524404579,0.0,1.0,1,1,1,6
2017-12-18,JPM|V,2,JPM,0.6291705,-0.002185372203619,-0.003185372203619,1.0,6.232824215356326,-0.00318537220361903,1.0,1,1,1,4
2017-12-26,JPM|META,2,META,0.6438866,0.0295192679047696,0.0285192679047696,1.0,6.410579798957408,0.0,1.0,1,1,1,4
2018-01-03,JNJ|META,2,JNJ,0.6356158,0.020713023134864852,0.01971302313486485,1.0,6.536951706842152,0.0,1.0,1,1,1,5
2018-01-10,JNJ|MSFT,2,JNJ,0.62744397,0.023226089334141997,0.022226089334141996,1.0,6.6822425794513975,0.0,1.0,1,1,1,4
2018-01-18,META|MSFT,2,META,0.6275363,0.03373219375195795,0.03273219375195795,1.0,6.9009670382595845,0.0,1.0,1,1,1,1
2018-01-25,JNJ|META,2,JNJ,0.63044494,-0.00020460756893430146,-0.0012046075689343015,1.0,6.892654081132331,-0.0012046075689342572,1.0,1,1,1,1
2018-02-01,JNJ|UNH,2,JNJ,0.6402539,-0.0886562582221039,-0.08965625822210391,1.0,6.2746845069986925,-0.09075286518378145,1.0,1,1,1,3
2018-02-08,JNJ|UNH,2,UNH,0.6539034,0.041353102226743696,0.041353102226743696,0.0,6.5341621768571745,-0.05315267546835256,1.0,2,0,1,6
2018-02-15,JNJ|UNH,2,JNJ,0.5796255,0.01216820525896495,0.01216820525896495,0.0,6.613671203420537,-0.04163124287454978,1.0,2,0,0,0
2018-02-23,JNJ|UNH,2,JNJ,0.61732304,-0.019792075611816652,-0.019792075611816652,0.0,6.482772922890744,-0.06059934977957937,1.0,2,0,0,4
2018-03-02,JNJ|UNH,2,UNH,0.6344107,0.02151947398745155,0.02151947398745155,0.0,6.622278786171447,-0.04038394192336592,1.0,2,0,0,3
2018-03-09,UNH,1,JPM,0.5815381,0.0107794332052382,0.009779433205238199,1.0,6.687040919227275,-0.03099944078073169,1.0,1,0,0,0
2018-03-16,JPM|UNH,2,JPM,0.62571454,-0.0701076370659186,-0.0711076370659186,1.0,6.211541240497915,-0.09990278086236759,1.0,1,1,0,4
2018-03-23,JPM|UNH,2,UNH,0.6556913,0.01486335687608985,0.01486335687608985,0.0,6.303865594705986,-0.08652431467114885,1.0,2,0,1,8
2018-04-02,UNH|V,2,UNH,0.66617143,0.014419570981769351,0.013419570981769352,1.0,6.388460766513676,-0.07426586287175807,1.0,1,1,0,8
2018-04-09,UNH|V,2,V,0.63544047,0.030044643070683497,0.030044643070683497,0.0,6.580399790014645,-0.04645251114339277,1.0,2,0,1,3
2018-04-16,JPM|V,2,JPM,0.63189524,0.013850564474932,0.012850564474931998,1.0,6.664961641787056,-0.034198887657931554,1.0,1,1,0,3
2018-04-23,JNJ|JPM,2,JNJ,0.6431855,-0.01103117875957225,-0.012031178759572249,1.0,6.584774296849024,-0.04581861348671268,1.0,1,1,1,4
2018-04-30,JNJ|JPM,2,JPM,0.6312363,-0.008751273619137299,-0.008751273619137299,0.0,6.527149135257035,-0.05416891588237838,1.0,2,0,1,6
2018-05-07,JPM|UNH,2,JPM,0.6155359,0.0402151021307877,0.0392151021307877,1.0,6.783111955219022,-0.017078053320232267,1.0,1,1,0,2
2018-05-14,JPM|UNH,2,V,0.5996938,0.002609981851285249,0.002609981851285249,0.0,6.800815754317379,-0.014512644878168168,1.0,2,0,1,0
2018-05-21,JNJ|JPM,2,JPM,0.62591326,-0.04161049261844825,-0.04261049261844825,1.0,6.511029644818612,-0.056504746549161156,1.0,1,1,0,4
2018-05-29,JNJ|UNH,2,UNH,0.6434821,0.01337620118904675,0.01237620118904675,1.0,6.591611457650734,-0.044827859471543,1.0,1,1,1,6
2018-06-05,JNJ|UNH,2,UNH,0.62795454,0.02307989578370575,0.02307989578370575,0.0,6.743745163139994,-0.022782586012647044,1.0,2,0,1,0
2018-06-12,JNJ|JPM,2,JPM,0.6030644,-0.01185701958100455,-0.01285701958100455,1.0,6.657040699528197,-0.03534668943918107,1.0,1,1,0,3
2018-06-19,JPM|MSFT,2,JPM,0.644748,-0.02132982994399425,-0.02232982994399425,1.0,6.508390112777485,-0.05688723381891525,1.0,1,1,1,1
2018-06-26,MSFT|V,2,V,0.6285661,-0.004300731803826,-0.005300731803826,1.0,6.473890882314978,-0.06188642165320557,1.0,1,1,1,5
2018-07-03,UNH|V,2,UNH,0.64198333,0.0408910678609162,0.0398910678609162,1.0,6.732141302825571,-0.02446406923812683,1.0,1,1,1,5
2018-07-11,AMZN|UNH,2,AMZN,0.6116555,0.02667849567803775,0.02567849567803775,1.0,6.905012564174117,0.0,1.0,1,1,1,3
