date,close,target_return,sentiment_score,dc_trend,dc_event,dc_drawdown,dc_T,dc_TMV,dc_R
2018-08-06,252.66326904296875,0.0033023442888082677,0.9153333028157552,1.0,0.0,0.0,0.0,0.0,0.0036672239450535717
2018-08-07,253.4976501464844,-0.00042020747089299704,0.937999979654948,1.0,0.0,0.0,0.0,0.0,0.0033023442888081836
2018-08-08,253.39112854003903,-0.0013664139885720683,0.9433333079020182,1.0,0.0,-0.0004202074708929866,1.0,-0.0004202074708929866,-0.0004202074708929866
2018-08-09,253.04489135742188,-0.0066996511603365505,0.9153333028157552,1.0,0.0,-0.0017860472820986717,2.0,-0.0017860472820986717,-0.0013664139885720158
2018-08-10,251.34957885742188,-0.003743342063467714,0.7893333435058594,1.0,0.0,-0.008473732548689342,3.0,-0.008473732548689342,-0.006699651160336598
2018-08-13,250.40869140625,0.00638031674781625,0.681333351135254,1.0,0.0,-0.012185354532672943,4.0,-0.012185354532672943,-0.003743342063467684
2018-08-14,252.00637817382807,-0.0074674744739634535,0.7793333053588867,1.0,0.0,-0.005882784206459504,5.0,-0.005882784206459504,0.006380316747816331
2018-08-15,250.12452697753903,0.008091733603641238,0.6906666437784831,1.0,0.0,-0.013306329139525355,6.0,-0.013306329139525355,-0.007467474473963422
2018-08-16,252.14846801757807,0.0035200421766024004,0.7700000127156575,1.0,0.0,-0.005322266806523477,7.0,-0.005322266806523477,0.008091733603641287
2018-08-17,253.0360412597656,0.0021405695119753876,0.8239999771118164,1.0,0.0,-0.0018209592335552804,8.0,-0.0018209592335552804,0.0035200421766022902
2018-08-20,253.5776824951172,0.002344921465980976,0.8340000152587891,1.0,0.0,0.0,0.0,0.0,0.00214056951197535
2018-08-21,254.1723022460937,-0.0005935487310290144,0.8093333562215169,1.0,0.0,0.0,0.0,0.0,0.002344921465980964
2018-08-22,254.0214385986328,-0.0013277029549514374,0.85,1.0,0.0,-0.0005935487310289697,1.0,-0.0005935487310289697,-0.0005935487310289697
2018-08-23,253.6841735839844,0.006018064116896316,0.8393333435058594,1.0,0.0,-0.0019204636295762697,2.0,-0.0019204636295762697,-0.0013277029549513947
2018-08-24,255.2108612060547,0.007895549185109596,0.8673333485921224,1.0,0.0,0.0,0.0,0.0,0.006018064116896361
2018-08-27,257.22589111328125,0.0004829881626968735,0.856000010172526,1.0,0.0,0.0,0.0,0.0,0.007895549185109514
2018-08-28,257.3501281738281,0.005380980970962401,0.8333333333333334,1.0,0.0,0.0,0.0,0.0,0.0004829881626968939
2018-08-29,258.73492431640625,-0.004048488445578369,0.85,1.0,0.0,0.0,0.0,0.0,0.005380980970962483
2018-08-30,257.6874389648437,3.44627400936659e-05,0.7646666844685872,1.0,0.0,-0.004048488445578339,1.0,-0.004048488445578339,-0.004048488445578339
2018-08-31,257.6963195800781,-0.0017224854997984762,0.8093333562215169,1.0,0.0,-0.0040141652274898075,2.0,-0.0040141652274898075,3.4462740093603965e-05
2018-09-04,257.25244140625,-0.002691452834092223,0.7893333435058594,1.0,0.0,-0.005729736385890162,3.0,-0.005729736385890162,-0.0017224854997985005
2018-09-05,256.56005859375,-0.003009768096910226,0.7393333435058593,1.0,0.0,-0.008405767904747998,4.0,-0.008405767904747998,-0.002691452834092242
2018-09-06,255.78787231445312,-0.0019433508195335625,0.6900000254313151,1.0,0.0,-0.011390236589588435,5.0,-0.011390236589588435,-0.003009768096910179
2018-09-07,255.2907867431641,0.0017381182909037562,0.6746666590372721,1.0,0.0,-0.013311452183510921,6.0,-0.013311452183510921,-0.0019433508195335443
2018-09-10,255.7345123291016,0.003297470372140676,0.7226666768391927,1.0,0.0,-0.011596470771125831,7.0,-0.011596470771125831,0.0017381182909037417
2018-09-11,256.5777893066406,0.00024252037545813288,0.7853333155314127,1.0,0.0,-0.008337239417774426,8.0,-0.008337239417774426,0.003297470372140587
2018-09-12,256.6400146484375,0.005914088456260513,0.7906666437784831,1.0,0.0,-0.008096740992750134,9.0,-0.008096740992750134,0.000242520375458175
2018-09-13,258.1578063964844,0.00017211795517724227,0.8420000076293945,1.0,0.0,-0.002230537378928092,10.0,-0.002230537378928092,0.005914088456260598
2018-09-14,258.2022399902344,-0.005294080173071647,0.8620000203450521,1.0,0.0,-0.0020588033392834773,11.0,-0.0020588033392834773,0.0001721179551772218
2018-09-17,256.8352966308594,0.005426225516959926,0.7546666463216146,1.0,0.0,-0.00734198404241642,12.0,-0.00734198404241642,-0.005294080173071697
2018-09-18,258.2289428710937,0.0010655137310167095,0.8140000025431315,1.0,0.0,-0.0019555977866126547,13.0,-0.0019555977866126547,0.005426225516959838
2018-09-19,258.50408935546875,0.008103380821947503,0.8833333333333333,1.0,0.0,-0.0008921677718900157,14.0,-0.0008921677718900157,0.0010655137310166206
2018-09-20,260.5988464355469,-0.0009134234960394005,0.8799999872843425,1.0,0.0,0.0,0.0,0.0,0.008103380821947564
2018-09-21,260.3608093261719,-0.003322275102054073,0.8879999796549479,1.0,0.0,-0.0009134234960394309,1.0,-0.0009134234960394309,-0.0009134234960394309
2018-09-24,259.4958190917969,-0.0009275376363067078,0.8533333460489909,1.0,0.0,-0.004232663953955025,2.0,-0.004232663953955025,-0.0033222751020541164
2018-09-25,259.255126953125,-0.002992252631816905,0.8386666615804037,1.0,0.0,-0.005156275635142587,3.0,-0.005156275635142587,-0.0009275376363066949
2018-09-26,258.4793701171875,0.0027943817672375637,0.8073333104451498,1.0,0.0,-0.008133099387619809,4.0,-0.008133099387619809,-0.0029922526318168505
2018-09-27,259.20166015625,0.00010301971385251463,0.8393333435058594,1.0,0.0,-0.005361444605022213,5.0,-0.005361444605022213,0.0027943817672374913
2018-09-28,259.2283630371094,0.0034745264377273877,0.8586666742960611,1.0,0.0,-0.005258977225658815,6.0,-0.005258977225658815,0.0001030197138524428
2018-10-01,260.1290588378906,-0.0005829485040255156,0.8666666666666667,1.0,0.0,-0.0018027232433373076,7.0,-0.0018027232433373076,0.003474526437727466
2018-10-02,259.9774169921875,0.0005487771952847886,0.8633333206176758,1.0,0.0,-0.0023846208525449913,8.0,-0.0023846208525449913,-0.0005829485040255592
2018-10-03,260.1200866699219,-0.007815580595791793,0.8926666895548503,1.0,0.0,-0.001837152282803409,9.0,-0.001837152282803409,0.0005487771952848594
2018-10-04,258.08709716796875,-0.00559702154357844,0.7186666488647461,1.0,0.0,-0.009638374466862226,10.0,-0.009638374466862226,-0.007815580595791809
2018-10-05,256.642578125,0.0,0.6786666870117187,1.0,0.0,-0.015181449820904587,11.0,-0.015181449820904587,-0.005597021543578466
2018-10-08,256.642578125,-0.001459511343140707,0.6206666946411132,1.0,0.0,-0.015181449820904587,12.0,-0.015181449820904587,0.0
2018-10-09,256.2680053710937,-0.03166299290612906,0.6033333460489909,1.0,0.0,-0.01661880366582634,13.0,-0.01661880366582634,-0.0014595113431406846
2018-10-10,248.1537933349609,-0.022026676862403005,0.1360000610351562,-1.0,1.0,0.0,0.0,0.0,-0.03166299290612906
2018-10-11,242.6877899169922,0.01388852299625265,0.0013333638509114,-1.0,0.0,0.0,0.0,0.0,-0.02202667686240301
2018-10-12,246.0583648681641,-0.005616879063898406,0.2460000356038411,-1.0,0.0,0.013888522996252754,1.0,0.013888522996252754,0.013888522996252754
